execution_id;timestamp;repetition;dataset;experiment;data_structure;runtime;storage;
144;1601305283;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(512,0);385358;;
144;1601305289;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;insert;bllAL(512,0);6029175;;
144;1601305290;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(512,0);438727;;
145;1601305298;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;vectorAL(0);3467814;;
145;1601305299;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;insert;vectorAL(0);902959;;
145;1601305303;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;vectorAL(0);4762923;;
146;1601305310;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(32,0);3296298;;
146;1601305463;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;insert;bllAL(32,0);152551157;;
146;1601305467;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(32,0);3751135;;
147;1601305475;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(64,0);3449718;;
147;1601305596;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;insert;bllAL(64,0);121850227;;
147;1601305600;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(64,0);3903257;;
148;1601305611;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(128,0);3579800;;
148;1601305662;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;insert;bllAL(128,0);51322693;;
148;1601305666;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(128,0);3988984;;
149;1601305681;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(248,0);3622938;;
149;1601305702;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;insert;bllAL(248,0);20622773;;
149;1601305706;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(248,0);4087184;;
150;1601305731;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(512,0);3697995;;
150;1601305746;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;insert;bllAL(512,0);15060830;;
150;1601305751;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(512,0);4207276;;
151;1601305752;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;vectorAL(0);85799;;
151;1601305752;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;vectorAL(0);203323;;
151;1601305752;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;vectorAL(0);95912;;
152;1601305753;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(32,0);76003;;
152;1601305753;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(32,0);340445;;
152;1601305753;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(32,0);85490;;
153;1601305753;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(64,0);78203;;
153;1601305754;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(64,0);321814;;
153;1601305754;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(64,0);83887;;
154;1601305754;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(128,0);78860;;
154;1601305754;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(128,0);318222;;
154;1601305754;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(128,0);82964;;
155;1601305755;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(248,0);80186;;
155;1601305755;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(248,0);334507;;
155;1601305755;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(248,0);83061;;
156;1601305756;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(512,0);82839;;
156;1601305756;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(512,0);354957;;
156;1601305756;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(512,0);85448;;
157;1601305759;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;vectorAL(0);403606;;
157;1601305759;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;insert;vectorAL(0);698399;;
157;1601305760;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;vectorAL(0);438235;;
158;1601305762;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(32,0);378948;;
158;1601305786;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;insert;bllAL(32,0);24116529;;
158;1601305787;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(32,0);486034;;
159;1601305789;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(64,0);383033;;
159;1601305803;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;insert;bllAL(64,0);13608498;;
159;1601305803;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(64,0);455463;;
160;1601305805;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(128,0);379266;;
160;1601305813;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;insert;bllAL(128,0);7860952;;
160;1601305814;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(128,0);436921;;
